job_id,job_title,company,location,description,skills,seniority,industry
11,Machine Learning Engineer,Brightloop Inc,"Pune, India","We are looking for a mid-level Machine Learning Engineer to join our healthcare team. The ideal candidate has hands-on experience with sql, pytorch, deep learning, python, aws, rest api, tensorflow, docker. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",sql; pytorch; deep learning; python; aws; rest api; tensorflow; docker,Mid-level,Healthcare
12,Machine Learning Engineer,Silverleaf Cloud,"Gurugram, India","We are looking for a intern Machine Learning Engineer to join our healthcare team. The ideal candidate has hands-on experience with aws, pytorch, python, docker, rest api, machine learning, deep learning. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",aws; pytorch; python; docker; rest api; machine learning; deep learning,Intern,Healthcare
13,Machine Learning Engineer,Silverleaf Cloud,"Gurugram, India","We are looking for a intern Machine Learning Engineer to join our automotive team. The ideal candidate has hands-on experience with machine learning, tensorflow, rest api, aws, git, python. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",machine learning; tensorflow; rest api; aws; git; python,Intern,Automotive
14,Machine Learning Engineer,Meridian Softworks,"Hyderabad, India","We are looking for a entry-level Machine Learning Engineer to join our technology team. The ideal candidate has hands-on experience with rest api, sql, machine learning, docker, aws, tensorflow, pytorch, git. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",rest api; sql; machine learning; docker; aws; tensorflow; pytorch; git,Entry-level,Technology
15,Machine Learning Engineer,Quantalabs,"Mumbai, India","We are looking for a mid-level Machine Learning Engineer to join our automotive team. The ideal candidate has hands-on experience with machine learning, git, tensorflow, pytorch, python, docker. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",machine learning; git; tensorflow; pytorch; python; docker,Mid-level,Automotive
16,Machine Learning Engineer,Datamint,"Bengaluru, India","We are looking for a entry-level Machine Learning Engineer to join our healthcare team. The ideal candidate has hands-on experience with python, machine learning, tensorflow, git, pytorch, sql. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",python; machine learning; tensorflow; git; pytorch; sql,Entry-level,Healthcare
17,NLP Engineer,Meridian Softworks,"Gurugram, India","We are looking for a entry-level NLP Engineer to join our media team. The ideal candidate has hands-on experience with spacy, faiss, natural language processing, hugging face transformers, pytorch, llm, python, git, sentence transformers. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",spacy; faiss; natural language processing; hugging face transformers; pytorch; llm; python; git; sentence transformers,Entry-level,Media
18,NLP Engineer,Ironclad Systems,"Mumbai, India","We are looking for a mid-level NLP Engineer to join our media team. The ideal candidate has hands-on experience with natural language processing, python, hugging face transformers, pytorch, spacy. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",natural language processing; python; hugging face transformers; pytorch; spacy,Mid-level,Media
19,NLP Engineer,Cognivo,"Gurugram, India","We are looking for a intern NLP Engineer to join our technology team. The ideal candidate has hands-on experience with faiss, spacy, hugging face transformers, natural language processing, git, llm, python, sentence transformers, pytorch. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",faiss; spacy; hugging face transformers; natural language processing; git; llm; python; sentence transformers; pytorch,Intern,Technology
20,NLP Engineer,Riverstone Tech,"Bengaluru, India","We are looking for a intern NLP Engineer to join our technology team. The ideal candidate has hands-on experience with hugging face transformers, spacy, git, llm, pytorch. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",hugging face transformers; spacy; git; llm; pytorch,Intern,Technology
21,NLP Engineer,Orbitwise Tech,"Hyderabad, India","We are looking for a entry-level NLP Engineer to join our media team. The ideal candidate has hands-on experience with python, llm, spacy, hugging face transformers, faiss, pytorch, sentence transformers, natural language processing. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",python; llm; spacy; hugging face transformers; faiss; pytorch; sentence transformers; natural language processing,Entry-level,Media
22,NLP Engineer,Silverleaf Cloud,"Gurugram, India","We are looking for a entry-level NLP Engineer to join our technology team. The ideal candidate has hands-on experience with git, python, pytorch, spacy, faiss. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",git; python; pytorch; spacy; faiss,Entry-level,Technology
23,NLP Engineer,Meridian Softworks,"Hyderabad, India","We are looking for a intern NLP Engineer to join our finance team. The ideal candidate has hands-on experience with git, natural language processing, llm, faiss, python. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",git; natural language processing; llm; faiss; python,Intern,Finance
24,NLP Engineer,Datamint,Remote,"We are looking for a intern NLP Engineer to join our finance team. The ideal candidate has hands-on experience with hugging face transformers, python, sentence transformers, faiss, git. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",hugging face transformers; python; sentence transformers; faiss; git,Intern,Finance
25,Data Analyst,Cognivo,"Chennai, India","We are looking for a mid-level Data Analyst to join our retail team. The ideal candidate has hands-on experience with data analysis, statistics, python, presentation. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",data analysis; statistics; python; presentation,Mid-level,Retail
26,Data Analyst,Vertex Data Labs,"Bengaluru, India","We are looking for a senior Data Analyst to join our retail team. The ideal candidate has hands-on experience with pandas, presentation, sql, communication, data analysis, statistics. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",pandas; presentation; sql; communication; data analysis; statistics,Senior,Retail
27,Data Analyst,Fernwood Digital,"Pune, India","We are looking for a mid-level Data Analyst to join our finance team. The ideal candidate has hands-on experience with data analysis, presentation, python, statistics. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",data analysis; presentation; python; statistics,Mid-level,Finance
28,Data Analyst,Riverstone Tech,"Noida, India","We are looking for a mid-level Data Analyst to join our e-commerce team. The ideal candidate has hands-on experience with python, data analysis, sql. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",python; data analysis; sql,Mid-level,E-commerce
29,Data Analyst,Corestack Solutions,"Noida, India","We are looking for a intern Data Analyst to join our finance team. The ideal candidate has hands-on experience with python, communication, data analysis, presentation, pandas, statistics, sql. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",python; communication; data analysis; presentation; pandas; statistics; sql,Intern,Finance
30,Data Analyst,Vertex Data Labs,Remote,"We are looking for a mid-level Data Analyst to join our e-commerce team. The ideal candidate has hands-on experience with sql, presentation, data analysis, python, pandas. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",sql; presentation; data analysis; python; pandas,Mid-level,E-commerce
31,Data Analyst,Lumenware,Remote,"We are looking for a mid-level Data Analyst to join our finance team. The ideal candidate has hands-on experience with sql, presentation, communication, python, data analysis, pandas, statistics. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",sql; presentation; communication; python; data analysis; pandas; statistics,Mid-level,Finance
32,Data Analyst,Bluepeak Software,"Bengaluru, India","We are looking for a entry-level Data Analyst to join our technology team. The ideal candidate has hands-on experience with data analysis, sql, presentation, python, pandas. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",data analysis; sql; presentation; python; pandas,Entry-level,Technology
33,Backend Developer,Skyline Systems,"Chennai, India","We are looking for a entry-level Backend Developer to join our finance team. The ideal candidate has hands-on experience with postgresql, django, flask, linux, java, sql, docker, python, git, rest api. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",postgresql; django; flask; linux; java; sql; docker; python; git; rest api,Entry-level,Finance
34,Backend Developer,Datamint,"Noida, India","We are looking for a senior Backend Developer to join our finance team. The ideal candidate has hands-on experience with java, postgresql, python, git, flask, linux, rest api. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",java; postgresql; python; git; flask; linux; rest api,Senior,Finance
35,Backend Developer,Silverleaf Cloud,"Gurugram, India","We are looking for a senior Backend Developer to join our e-commerce team. The ideal candidate has hands-on experience with python, flask, postgresql, django, docker, linux, sql. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",python; flask; postgresql; django; docker; linux; sql,Senior,E-commerce
36,Backend Developer,Quantalabs,Remote,"We are looking for a mid-level Backend Developer to join our finance team. The ideal candidate has hands-on experience with sql, python, java, django, docker, rest api, postgresql, git, flask, linux. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",sql; python; java; django; docker; rest api; postgresql; git; flask; linux,Mid-level,Finance
37,Backend Developer,Brightloop Inc,Remote,"We are looking for a mid-level Backend Developer to join our finance team. The ideal candidate has hands-on experience with git, java, postgresql, rest api, linux, django, python, docker, sql, flask. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",git; java; postgresql; rest api; linux; django; python; docker; sql; flask,Mid-level,Finance
38,Backend Developer,Ironclad Systems,"Pune, India","We are looking for a entry-level Backend Developer to join our e-commerce team. The ideal candidate has hands-on experience with linux, sql, java, git, django, rest api, postgresql, flask. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",linux; sql; java; git; django; rest api; postgresql; flask,Entry-level,E-commerce
39,Backend Developer,Hexalytics,"Noida, India","We are looking for a senior Backend Developer to join our e-commerce team. The ideal candidate has hands-on experience with django, flask, postgresql, sql, git, java, linux, rest api, python, docker. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",django; flask; postgresql; sql; git; java; linux; rest api; python; docker,Senior,E-commerce
40,Backend Developer,Ironclad Systems,"Chennai, India","We are looking for a mid-level Backend Developer to join our technology team. The ideal candidate has hands-on experience with docker, linux, flask, rest api, git, java, python, postgresql, django. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",docker; linux; flask; rest api; git; java; python; postgresql; django,Mid-level,Technology
41,Full Stack Developer,Silverleaf Cloud,"Gurugram, India","We are looking for a intern Full Stack Developer to join our technology team. The ideal candidate has hands-on experience with node.js, javascript, css, react, express.js, mongodb, html. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",node.js; javascript; css; react; express.js; mongodb; html,Intern,Technology
42,Full Stack Developer,Solstice AI,"Gurugram, India","We are looking for a senior Full Stack Developer to join our startups team. The ideal candidate has hands-on experience with html, git, express.js, react, rest api, javascript, mongodb, css, typescript. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",html; git; express.js; react; rest api; javascript; mongodb; css; typescript,Senior,Startups
43,Full Stack Developer,Quantalabs,"Mumbai, India","We are looking for a entry-level Full Stack Developer to join our e-commerce team. The ideal candidate has hands-on experience with css, express.js, react, typescript, html, git. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",css; express.js; react; typescript; html; git,Entry-level,E-commerce
44,Full Stack Developer,Trailmark Data,Remote,"We are looking for a mid-level Full Stack Developer to join our startups team. The ideal candidate has hands-on experience with html, node.js, typescript, express.js, css, react, rest api, git, mongodb, javascript. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",html; node.js; typescript; express.js; css; react; rest api; git; mongodb; javascript,Mid-level,Startups
45,Full Stack Developer,Vertex Data Labs,"Noida, India","We are looking for a mid-level Full Stack Developer to join our startups team. The ideal candidate has hands-on experience with mongodb, rest api, css, typescript, javascript, react, git. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",mongodb; rest api; css; typescript; javascript; react; git,Mid-level,Startups
46,Full Stack Developer,Bluepeak Software,"Gurugram, India","We are looking for a entry-level Full Stack Developer to join our startups team. The ideal candidate has hands-on experience with git, typescript, rest api, mongodb, express.js, html. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",git; typescript; rest api; mongodb; express.js; html,Entry-level,Startups
47,Full Stack Developer,Ironclad Systems,Remote,"We are looking for a intern Full Stack Developer to join our technology team. The ideal candidate has hands-on experience with javascript, git, html, typescript, node.js, rest api, express.js, react, css, mongodb. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",javascript; git; html; typescript; node.js; rest api; express.js; react; css; mongodb,Intern,Technology
48,Full Stack Developer,Ironclad Systems,"Mumbai, India","We are looking for a entry-level Full Stack Developer to join our startups team. The ideal candidate has hands-on experience with git, rest api, typescript, css, react, express.js. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",git; rest api; typescript; css; react; express.js,Entry-level,Startups
49,Cloud/DevOps Engineer,Riverstone Tech,"Bengaluru, India","We are looking for a entry-level Cloud/DevOps Engineer to join our telecom team. The ideal candidate has hands-on experience with aws, azure, linux, kubernetes, git, bash, cloud computing, docker. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",aws; azure; linux; kubernetes; git; bash; cloud computing; docker,Entry-level,Telecom
50,Cloud/DevOps Engineer,Brightloop Inc,"Gurugram, India","We are looking for a mid-level Cloud/DevOps Engineer to join our finance team. The ideal candidate has hands-on experience with linux, cloud computing, bash, kubernetes, docker, git, azure, aws. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",linux; cloud computing; bash; kubernetes; docker; git; azure; aws,Mid-level,Finance
51,Cloud/DevOps Engineer,Riverstone Tech,"Bengaluru, India","We are looking for a senior Cloud/DevOps Engineer to join our technology team. The ideal candidate has hands-on experience with kubernetes, azure, bash, linux, aws, ci/cd, cloud computing. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",kubernetes; azure; bash; linux; aws; ci/cd; cloud computing,Senior,Technology
52,Cloud/DevOps Engineer,Trailmark Data,"Hyderabad, India","We are looking for a entry-level Cloud/DevOps Engineer to join our technology team. The ideal candidate has hands-on experience with docker, git, linux, aws, ci/cd, azure. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",docker; git; linux; aws; ci/cd; azure,Entry-level,Technology
53,Cloud/DevOps Engineer,Corestack Solutions,"Chennai, India","We are looking for a senior Cloud/DevOps Engineer to join our telecom team. The ideal candidate has hands-on experience with azure, docker, git, aws, ci/cd, linux. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",azure; docker; git; aws; ci/cd; linux,Senior,Telecom
54,Cloud/DevOps Engineer,Hexalytics,Remote,"We are looking for a mid-level Cloud/DevOps Engineer to join our telecom team. The ideal candidate has hands-on experience with azure, kubernetes, aws, linux, docker, bash. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",azure; kubernetes; aws; linux; docker; bash,Mid-level,Telecom
55,Cloud/DevOps Engineer,Riverstone Tech,Remote,"We are looking for a intern Cloud/DevOps Engineer to join our finance team. The ideal candidate has hands-on experience with azure, linux, aws, kubernetes, git, bash, cloud computing. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",azure; linux; aws; kubernetes; git; bash; cloud computing,Intern,Finance
56,Cloud/DevOps Engineer,Lumenware,"Hyderabad, India","We are looking for a mid-level Cloud/DevOps Engineer to join our telecom team. The ideal candidate has hands-on experience with docker, ci/cd, git, bash, kubernetes, linux, azure, cloud computing. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",docker; ci/cd; git; bash; kubernetes; linux; azure; cloud computing,Mid-level,Telecom
57,AI Product Manager,Vertex Data Labs,"Noida, India","We are looking for a mid-level AI Product Manager to join our technology team. The ideal candidate has hands-on experience with communication, problem solving, data analysis, presentation, generative ai, leadership. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",communication; problem solving; data analysis; presentation; generative ai; leadership,Mid-level,Technology
58,AI Product Manager,Meridian Softworks,"Gurugram, India","We are looking for a mid-level AI Product Manager to join our technology team. The ideal candidate has hands-on experience with leadership, presentation, data analysis, problem solving, communication. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",leadership; presentation; data analysis; problem solving; communication,Mid-level,Technology
59,AI Product Manager,Vertex Data Labs,"Gurugram, India","We are looking for a intern AI Product Manager to join our technology team. The ideal candidate has hands-on experience with problem solving, data analysis, communication, leadership, presentation, generative ai. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",problem solving; data analysis; communication; leadership; presentation; generative ai,Intern,Technology
60,AI Product Manager,Vertex Data Labs,"Noida, India","We are looking for a senior AI Product Manager to join our technology team. The ideal candidate has hands-on experience with problem solving, communication, leadership, presentation. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",problem solving; communication; leadership; presentation,Senior,Technology
61,AI Product Manager,Riverstone Tech,"Chennai, India","We are looking for a mid-level AI Product Manager to join our consulting team. The ideal candidate has hands-on experience with presentation, data analysis, leadership, communication, problem solving, generative ai. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",presentation; data analysis; leadership; communication; problem solving; generative ai,Mid-level,Consulting
62,AI Product Manager,Datamint,"Pune, India","We are looking for a mid-level AI Product Manager to join our consulting team. The ideal candidate has hands-on experience with leadership, generative ai, communication, data analysis. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",leadership; generative ai; communication; data analysis,Mid-level,Consulting
63,AI Product Manager,Corestack Solutions,"Noida, India","We are looking for a entry-level AI Product Manager to join our consulting team. The ideal candidate has hands-on experience with communication, leadership, presentation. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",communication; leadership; presentation,Entry-level,Consulting
64,AI Product Manager,Silverleaf Cloud,"Bengaluru, India","We are looking for a mid-level AI Product Manager to join our technology team. The ideal candidate has hands-on experience with leadership, generative ai, data analysis, presentation. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",leadership; generative ai; data analysis; presentation,Mid-level,Technology
65,Computer Vision Engineer,Bluepeak Software,"Mumbai, India","We are looking for a mid-level Computer Vision Engineer to join our retail team. The ideal candidate has hands-on experience with python, deep learning, pytorch, tensorflow. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",python; deep learning; pytorch; tensorflow,Mid-level,Retail
66,Computer Vision Engineer,Brightloop Inc,"Hyderabad, India","We are looking for a senior Computer Vision Engineer to join our automotive team. The ideal candidate has hands-on experience with deep learning, docker, tensorflow, python. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",deep learning; docker; tensorflow; python,Senior,Automotive
67,Computer Vision Engineer,Meridian Softworks,"Pune, India","We are looking for a intern Computer Vision Engineer to join our automotive team. The ideal candidate has hands-on experience with python, computer vision, docker, deep learning, pytorch, aws, tensorflow, opencv. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",python; computer vision; docker; deep learning; pytorch; aws; tensorflow; opencv,Intern,Automotive
68,Computer Vision Engineer,Trailmark Data,"Gurugram, India","We are looking for a senior Computer Vision Engineer to join our retail team. The ideal candidate has hands-on experience with docker, tensorflow, aws, pytorch, opencv, computer vision, python, deep learning. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",docker; tensorflow; aws; pytorch; opencv; computer vision; python; deep learning,Senior,Retail
69,Computer Vision Engineer,Cognivo,"Noida, India","We are looking for a entry-level Computer Vision Engineer to join our retail team. The ideal candidate has hands-on experience with pytorch, computer vision, docker, deep learning. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",pytorch; computer vision; docker; deep learning,Entry-level,Retail
70,Computer Vision Engineer,Nimbus Analytics,Remote,"We are looking for a intern Computer Vision Engineer to join our technology team. The ideal candidate has hands-on experience with aws, pytorch, python, computer vision, docker, tensorflow, deep learning. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",aws; pytorch; python; computer vision; docker; tensorflow; deep learning,Intern,Technology
71,Computer Vision Engineer,Datamint,"Noida, India","We are looking for a senior Computer Vision Engineer to join our technology team. The ideal candidate has hands-on experience with tensorflow, aws, python, deep learning, computer vision, pytorch, opencv, docker. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",tensorflow; aws; python; deep learning; computer vision; pytorch; opencv; docker,Senior,Technology
72,Computer Vision Engineer,Orbitwise Tech,"Hyderabad, India","We are looking for a entry-level Computer Vision Engineer to join our technology team. The ideal candidate has hands-on experience with deep learning, tensorflow, python, docker, pytorch, aws. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",deep learning; tensorflow; python; docker; pytorch; aws,Entry-level,Technology
73,Database Administrator,Quantalabs,"Mumbai, India","We are looking for a senior Database Administrator to join our finance team. The ideal candidate has hands-on experience with sql, linux, problem solving, mongodb, postgresql, mysql. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",sql; linux; problem solving; mongodb; postgresql; mysql,Senior,Finance
74,Database Administrator,Vertex Data Labs,"Gurugram, India","We are looking for a mid-level Database Administrator to join our technology team. The ideal candidate has hands-on experience with linux, sql, postgresql, aws, mongodb, mysql, problem solving. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",linux; sql; postgresql; aws; mongodb; mysql; problem solving,Mid-level,Technology
75,Database Administrator,Solstice AI,Remote,"We are looking for a mid-level Database Administrator to join our technology team. The ideal candidate has hands-on experience with sql, mongodb, postgresql, aws, mysql, linux. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",sql; mongodb; postgresql; aws; mysql; linux,Mid-level,Technology
76,Database Administrator,Brightloop Inc,Remote,"We are looking for a intern Database Administrator to join our technology team. The ideal candidate has hands-on experience with postgresql, aws, mongodb, sql, mysql, linux. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",postgresql; aws; mongodb; sql; mysql; linux,Intern,Technology
77,Database Administrator,Brightloop Inc,"Pune, India","We are looking for a mid-level Database Administrator to join our finance team. The ideal candidate has hands-on experience with problem solving, linux, sql, mongodb, mysql, aws. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",problem solving; linux; sql; mongodb; mysql; aws,Mid-level,Finance
78,Database Administrator,Fernwood Digital,"Mumbai, India","We are looking for a entry-level Database Administrator to join our healthcare team. The ideal candidate has hands-on experience with problem solving, sql, mysql, postgresql, mongodb, aws. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",problem solving; sql; mysql; postgresql; mongodb; aws,Entry-level,Healthcare
79,Database Administrator,Meridian Softworks,"Pune, India","We are looking for a mid-level Database Administrator to join our finance team. The ideal candidate has hands-on experience with aws, linux, mysql. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",aws; linux; mysql,Mid-level,Finance
80,Database Administrator,Riverstone Tech,"Bengaluru, India","We are looking for a entry-level Database Administrator to join our finance team. The ideal candidate has hands-on experience with mongodb, sql, mysql, aws, linux, problem solving, postgresql. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",mongodb; sql; mysql; aws; linux; problem solving; postgresql,Entry-level,Finance
